"";"sKNotes:notes";"item ### type";"item ### note";
"07493dfd-9048-438f-8d14-b7d52b0c0d9d";"";;;"
"
"0751f446-646b-4e27-984b-0f7ab78f0d7d";"";;;"
"
"075443ec-de45-4015-b2e2-f90b2354d254";"";;;"
"
"0763da82-2bae-409b-9837-1843c1bc0f0f";;"Date d'inscription au registre d'inventaire ### ";"19 mai 2015 ### ";"
"
"0775d3d5-cc24-4ed2-833a-8a3f14dba189";"";;;"
"
"078af504-7b2a-4605-a398-349ba5c8f3ff";"";;;"
"
"078dcec6-2afc-4d96-a1c3-c743d9adbd80";"";;;"
"
"079f9c60-72db-485d-858f-f8e678c8f212";"";;;"
"
"07b1c120-97f8-445f-a61e-33b746dbd574";;"Note sur les numéros d'identification ###  ### Note sur le statut juridique ### ";"Une série de 7 ###  ### Pour la somme de 35 000, 00 francs la série de 7. ### ";"
"
"07b720cd-1399-4f24-a8b0-d20fa542184d";;"Note sur l'exposition - 2011, Le Havre, Le Cercle de l'Art moderne au Havr ###  ### Note sur le statut juridique ### ";"n°18, p.44 repr. et p. 25 repr. ###  ### Acquis par la ville en 1907 à l’issue de l’exposition du Cercle de l’Art Moderne ### ";"
"
"07b82f09-f475-47e1-98cd-1d941c4724b7";"";;;"
"
"07ce6f3d-f3dc-4819-93c7-90cfa88bd246";"";;;"
"
"07d83ec9-8df7-480d-8c06-879b3c251887";"";;;"
"
"07e5cd2a-e30a-4066-9b09-e5484a451088";;"Note sur l'exposition - 2011-2012, Le Havre, Alphonse Saladin ### ";"N°3, p.30 repr. ### ";"
"
"0800787c-866e-4dd2-9b93-7cdfaf1f7a6c";"";;;"
"
"082bb8bd-d410-4fe7-92fa-d1457df3a7f8";"";;;"
"
"0830a790-eaef-4810-8e3f-8c7ccd657a52";"";;;"
"
"08388fea-3d1d-4973-b230-1a8cddaaa0ca";;"Note sur l'exposition - 1963, Le Havre, Musée-Maison de la ###  ### Note sur l'exposition - 1970, Bordeaux, Rétrospective Dufy ###  ### Note sur l'exposition - 1989, Biot, Musée national F.Léger ###  ### Note sur l'exposition - 1992, Le Havre, Zurich, Arthur Honneger ###  ### Note sur l'exposition - 1996, Tokyo, Tobu Museum of Art ###  ### Note sur l'exposition - 2011, Le Havre, Construire le musée imaginaire ### ";"n° 25 du catalogue ###  ### pl. 47 , n° 116 du catalogue ###  ### n° 67 du catalogue, p. 166 et 167 ###  ### n° 32 du catalogue ###  ### p. 11 du catalogue ###  ### Repr. p. 237 ### ";"
"
"08448b6d-2f6d-4a1e-9f39-4ef6464d2df9";;"Note sur les numéros d'identification ### ";"NON VU lors du récolement 12/06/2015 ### ";"
"
"084865a9-ca04-4b19-a877-10ed0364172a";;"Note sur l'exposition - 1978, Le Havre, Musée des Beaux-Arts.... ###  ### Note sur l'exposition - 1987, Le Havre, Musée des Beaux-Arts André Malraux ###  ### Note sur l'exposition - 2002, Martainville, Cheveaux de château, ### ";"p. 51 du catalogue, ch. Animaux, sous le titre : Plusieurs chevaux à l'écurie. Etude. 1er plan, un blanc ###  ### n° 154 du catalogue, vignette en noir et blanc ###  ### repr. p. 32 au catalogue ### ";"
"
"084ce288-46b4-46b0-b5b2-90ef8ea0fa01";"";;;"
"
"0860d371-2937-4028-bf63-4e5aae80e960";;"Note sur l'exposition - 1998, Miyota, Mercian Karuizawa ###  ### Note sur l'exposition - 2002, Martigny (Suisse) ###  ### Note sur l'exposition - 2011-2012, Le Havre, Les Territoires du désir ### ";"repr. p. 92 ###  ### n° 65, repr. p. 114 ###  ### Repr. p. 94 ### ";"
"
"088c839e-82dc-4970-9ab8-b168c2390246";"";;;"
"
"08a4ce68-d0a6-41bb-8a92-cf1c90b13dbf";"";;;"
"
"08a57a64-1a16-435c-a299-e8d6ad6a6c41";"";;;"
"
"08a87beb-45ea-4eb3-8bb3-4356a1defaca";"";;;"
"
"08a9280f-0e02-4674-9af3-4e16c96f9eb1";"";;;"
"
"08b58532-70fa-452b-abac-1972838c15e3";"";;;"
"
"08b972f1-bff9-4950-aa28-16415b18fa34";"";;;"
"
"08cbf9ee-6d21-4744-b08a-99225527496b";"";;;"
"
